type,Converge,Diverge
1,18,25
1,10,25
1,10,20
1,8,25
1,6,14
1,10,30
1,12,10
1,8,25
1,8,18
1,6,30
1,4,40
1,12,20
1,4,25
1,10,25
1,10,25
1,8,30
1,6,35
1,20,25
1,8,25
1,12,25
1,40,30
1,8,18
1,10,40
1,16,16
1,8,45
1,8,16
1,12,20
1,12,25
1,8,25
1,8,30
1,10,14
1,10,20
1,8,14
1,45,20
1,10,20
1,8,8
1,8,25
1,6,25
1,14,40
1,10,25
2,3,3
2,3,3
2,3,3
2,5,3
2,5,4
2,5,3
2,5,5
2,3,3
2,3,4
2,2,2
2,8,5
2,5,4
2,5,4
2,3,2
2,4,3
2,3,6
2,3,2
2,5,5
2,4,3
2,4,3
2,4,2
2,5,4
2,5,4
2,5,4
2,2,2
2,6,5
2,10,4
2,5,4
2,2,2
2,3,2
2,2,2
2,5,3
2,4,4
2,5,4
2,3,2
2,5,4
2,3,3
2,6,2
2,30,4
2,6,3
3,14,30
3,14,18
3,18,20
3,16,30
3,14,12
3,10,25
3,16,20
3,8,25
3,16,12
3,14,25
3,14,20
3,20,20
3,14,25
3,16,25
3,12,40
3,16,16
3,14,35
3,14,25
3,18,35
3,16,25
3,16,18
3,16,18
3,16,40
3,18,25
3,10,30
3,14,35
3,12,40
3,25,30
3,14,25
3,12,20
3,12,18
3,10,16
3,14,14
3,12,25
3,16,30
3,14,12
3,16,25
3,16,30
3,16,35
3,14,40
4,3,3
4,3,3
4,3,2
4,4,4
4,5,4
4,4,3
4,6,5
4,3,3
4,10,18
4,2,2
4,4,4
4,6,4
4,5,5
4,3,3
4,3,3
4,6,5
4,3,3
4,5,5
4,4,6
4,4,4
4,3,3
4,5,5
4,3,4
4,6,5
4,2,2
4,3,3
4,4,4
4,4,4
4,2,3
4,3,2
4,2,2
4,3,3
4,5,3
4,10,12
4,2,2
4,6,5
4,3,3
4,14,3
4,12,14
4,4,3
