headturn,subj,00,22,02,44,04
1,1,1,0,0,2,1
1,2,1,0,1,0,0
1,3,1,1,-2,-1,2
1,4,0,0,-1,0,0
1,5,1,0,1,1,2
1,6,-1,1,0,1,1
1,7,2,2,2,1,1
1,8,0,1,2,0,2
1,9,-3,-1,0,2,-1
1,10,0,1,1,0,2
1,11,1,0,0,0,0
1,12,1,0,0,1,0
1,13,0,-1,0,1,0
1,14,1,0,0,1,1
1,15,-2,-2,-1,1,0
1,16,1,3,0,3,2
1,17,1,-1,-2,-2,-1
1,18,1,0,0,0,0
1,19,1,0,0,0,-1
1,20,0,1,0,0,0
1,21,0,1,2,0,1
1,22,1,2,1,0,0
1,23,0,-2,0,2,0
1,24,2,0,0,1,1
1,25,-1,1,-1,-3,-1
1,26,0,0,-1,0,0
1,27,0,0,0,0,0
1,28,2,0,0,1,1
1,29,0,-1,0,0,0
1,30,0,1,1,1,1
1,31,0,0,0,-1,-1
1,32,0,0,1,0,0
1,33,-1,-1,0,0,0
1,34,0,-1,-1,-3,-2
1,35,-1,-1,0,0,0
1,36,0,1,0,0,-1
1,37,2,0,2,0,0
1,38,1,-1,-1,-1,0
1,39,-1,-1,1,1,0
1,40,0,0,0,0,-1
2,1,2,2,1,3,3
2,2,1,0,1,0,1
2,3,1,-1,0,-1,1
2,4,0,0,-1,0,1
2,5,2,1,2,2,3
2,6,0,0,1,0,0
2,7,1,2,2,1,2
2,8,0,2,3,0,3
2,9,-2,0,0,2,1
2,10,1,1,1,1,2
2,11,0,0,0,0,0
2,12,0,1,0,1,1
2,13,0,0,0,1,0
2,14,1,0,2,1,1
2,15,0,0,1,1,1
2,16,1,2,1,1,1
2,17,2,1,1,1,1
2,18,1,0,1,1,1
2,19,0,0,0,1,0
2,20,-1,1,1,1,0
2,21,1,0,2,1,1
2,22,0,1,-1,0,0
2,23,2,2,1,3,0
2,24,0,1,0,1,0
2,25,0,1,0,-1,0
2,26,0,-1,-1,0,0
2,27,0,0,0,0,0
2,28,2,1,2,2,2
2,29,0,-3,1,-1,-1
2,30,0,1,1,1,0
2,31,1,0,0,-1,-1
2,32,0,1,1,0,0
2,33,0,-2,-1,-1,0
2,34,0,0,0,-3,-2
2,35,0,2,1,4,3
2,36,0,1,0,0,0
2,37,3,1,1,0,1
2,38,0,-1,-1,0,0
2,39,-1,1,2,1,1
2,40,0,-1,0,0,-1
3,1,1,1,2,3,4
3,2,0,0,-1,0,0
3,3,0,1,-2,-1,1
3,4,0,0,0,0,0
3,5,2,0,1,1,2
3,6,1,1,0,0,0
3,7,1,4,2,2,0
3,8,-4,-1,-1,0,3
3,9,-2,0,-1,0,0
3,10,1,1,-2,0,2
3,11,0,1,0,-1,-1
3,12,0,3,-1,0,1
3,13,0,1,-1,1,1
3,14,0,0,-2,1,1
3,15,0,0,-1,0,0
3,16,2,3,1,1,0
3,17,2,2,1,1,2
3,18,0,0,-1,-1,-1
3,19,0,0,-1,0,-1
3,20,0,1,-1,0,0
3,21,1,1,1,0,0
3,22,3,5,-2,3,1
3,23,0,0,0,1,0
3,24,1,0,0,1,0
3,25,-1,1,0,-1,1
3,26,0,1,-1,0,-1
3,27,0,2,2,1,1
3,28,2,2,0,2,2
3,29,-1,-3,0,-1,-1
3,30,0,1,-1,0,0
3,31,0,0,0,-1,-1
3,32,0,1,0,1,1
3,33,-1,0,-2,0,0
3,34,0,0,0,-2,-1
3,35,0,0,-1,0,0
3,36,-2,0,-1,-1,-2
3,37,1,1,1,0,0
3,38,0,0,-2,-1,0
3,39,-1,1,1,1,0
3,40,0,0,-1,0,-1
4,1,1,2,2,1,3
4,2,1,1,2,1,1
4,3,1,1,-1,-1,2
4,4,0,-1,0,0,-1
4,5,2,1,2,1,2
4,6,0,1,0,0,0
4,7,1,3,3,1,2
4,8,0,1,2,1,2
4,9,-1,-1,1,0,0
4,10,0,1,1,1,2
4,11,0,0,1,0,0
4,12,0,2,1,1,1
4,13,1,0,0,2,0
4,14,2,1,2,3,2
4,15,1,0,0,0,0
4,16,1,2,1,1,0
4,17,2,2,0,0,0
4,18,1,-1,0,1,-1
4,19,2,1,1,2,1
4,20,0,2,1,0,0
4,21,-1,0,2,1,0
4,22,1,2,0,0,-1
4,23,3,1,2,2,1
4,24,0,-1,0,0,-1
4,25,1,2,2,0,1
4,26,0,0,0,0,0
4,27,0,-1,0,-1,0
4,28,2,1,1,2,2
4,29,-1,-2,0,-1,-1
4,30,1,0,0,0,0
4,31,0,0,0,-1,-1
4,32,1,2,3,2,2
4,33,-1,-1,0,0,2
4,34,-1,-2,-1,-3,-2
4,35,0,0,1,2,2
4,36,0,1,1,1,1
4,37,2,2,2,1,1
4,38,0,-1,-1,-1,1
4,39,-1,0,2,2,0
4,40,0,0,1,0,-1
5,1,1,2,-2,2,3
5,2,0,2,-3,0,0
5,3,1,3,-3,-1,1
5,4,0,1,-1,0,0
5,5,0,1,-1,0,0
5,6,1,1,-1,0,0
5,7,1,4,1,1,2
5,8,0,2,2,1,3
5,9,-2,0,0,0,1
5,10,0,1,-2,-1,0
5,11,0,2,-2,-1,0
5,12,0,1,-4,-1,-1
5,13,0,1,-1,1,-1
5,14,1,1,-1,1,1
5,15,0,0,-3,-1,-1
5,16,1,4,2,1,0
5,17,1,2,-1,0,-1
5,18,0,0,-1,0,0
5,19,1,0,-3,0,-1
5,20,0,2,-1,1,0
5,21,0,3,0,0,1
5,22,2,3,0,1,0
5,23,2,1,0,2,1
5,24,0,1,-1,0,0
5,25,0,2,0,0,0
5,26,1,3,-1,1,0
5,27,0,2,2,2,2
5,28,1,1,-1,1,2
5,29,-1,-4,0,-1,-2
5,30,1,2,-1,0,0
5,31,0,0,0,-1,-1
5,32,2,4,0,1,2
5,33,0,1,-1,1,2
5,34,0,0,-1,-1,-1
5,35,0,-1,1,2,0
5,36,-2,1,-1,-1,-1
5,37,1,1,-1,0,1
5,38,0,-1,-3,-2,-1
5,39,0,1,1,1,0
5,40,0,1,-2,0,-1
