headturn,subj,00,22,02,44,04
1,1,1,0,0,0,-1
1,2,0,0,0,0,0
1,3,0,0,0,0,0
1,4,0,0,0,0,0
1,5,0,0,1,1,0
1,6,0,0,1,0,1
1,7,0,0,0,0,0
1,8,2,0,1,0,1
1,9,0,1,1,0,1
1,10,0,0,0,0,0
1,11,1,1,0,0,0
1,12,0,-1,0,0,1
1,13,0,0,0,0,0
1,14,0,0,0,0,0
1,15,0,0,0,0,0
1,16,0,0,0,1,0
1,17,0,0,0,1,0
1,18,-1,0,1,0,2
1,19,0,0,0,0,0
1,20,0,0,0,0,0
1,21,0,0,0,0,0
1,22,0,0,0,0,0
1,23,0,0,0,0,0
1,24,0,0,0,0,0
1,25,2,1,0,0,0
1,26,0,0,0,0,-1
1,27,0,0,0,0,0
1,28,1,1,1,1,0
1,29,0,0,0,0,0
1,30,0,0,0,0,0
1,31,0,0,0,0,0
1,32,0,0,0,0,0
1,33,0,-1,0,-1,0
1,34,0,0,0,1,0
1,35,1,0,0,0,0
1,36,0,0,0,0,0
1,37,1,0,0,1,0
1,38,-1,0,0,1,2
1,39,0,0,0,0,0
1,40,0,0,0,0,0
2,1,1,-1,-1,-1,0
2,2,0,0,0,0,0
2,3,0,0,0,0,0
2,4,0,0,0,0,0
2,5,0,0,0,0,0
2,6,0,0,0,0,0
2,7,0,0,0,0,0
2,8,0,0,0,-2,1
2,9,0,0,0,0,0
2,10,0,0,0,0,0
2,11,1,1,0,-1,-1
2,12,0,-1,0,0,1
2,13,0,0,0,0,0
2,14,0,0,0,0,0
2,15,0,0,0,0,0
2,16,0,0,-1,1,-1
2,17,0,0,0,0,0
2,18,-1,0,1,0,1
2,19,0,0,0,0,0
2,20,-1,-1,0,0,0
2,21,0,0,0,0,0
2,22,0,0,0,0,0
2,23,0,0,0,0,0
2,24,0,0,0,0,0
2,25,1,1,0,0,0
2,26,0,0,0,0,0
2,27,0,0,0,0,0
2,28,1,1,1,1,0
2,29,0,-1,-1,0,-2
2,30,0,0,0,0,0
2,31,0,0,0,0,0
2,32,0,0,0,0,0
2,33,0,0,0,0,0
