subj,lenses,resp
1,1,2.85382389963804
2,1,5.70764779927608
3,1,1.90254926642536
4,1,0.951274633212681
5,1,8.56147169891413
6,1,2.85382389963804
7,1,3.80509853285072
8,1,4.7563731660634
9,1,1.90254926642536
10,1,1.90254926642536
11,1,2.85382389963804
12,1,0.951274633212681
13,1,4.7563731660634
14,1,3.80509853285072
15,1,1.90254926642536
16,1,3.80509853285072
17,1,3.80509853285072
18,1,0.951274633212681
19,1,2.85382389963804
20,1,2.85382389963804
21,1,3.80509853285072
22,1,2.85382389963804
23,1,5.70764779927608
24,1,7.61019706570144
25,1,1.90254926642536
26,1,2.85382389963804
27,1,1.90254926642536
28,1,4.7563731660634
29,1,4.7563731660634
30,1,4.7563731660634
31,1,2.85382389963804
32,1,8.56147169891413
33,1,1.90254926642536
34,1,3.80509853285072
35,1,3.80509853285072
36,1,0.951274633212681
37,1,3.80509853285072
38,1,4.7563731660634
39,1,1.90254926642536
40,1,1.90254926642536
1,2,2.85382389963804
2,2,6.65892243248876
3,2,2.85382389963804
4,2,0.951274633212681
5,2,8.56147169891413
6,2,1.90254926642536
7,2,1.90254926642536
8,2,3.80509853285072
9,2,3.80509853285072
10,2,0.951274633212681
11,2,6.65892243248876
12,2,1.90254926642536
13,2,3.80509853285072
14,2,1.90254926642536
15,2,1.90254926642536
16,2,2.85382389963804
17,2,3.80509853285072
18,2,1.90254926642536
19,2,2.85382389963804
20,2,3.80509853285072
21,2,2.85382389963804
22,2,0.951274633212681
23,2,2.85382389963804
24,2,7.61019706570144
25,2,2.85382389963804
26,2,3.80509853285072
27,2,1.90254926642536
28,2,4.7563731660634
29,2,4.7563731660634
30,2,4.7563731660634
31,2,2.85382389963804
32,2,4.7563731660634
33,2,7.61019706570144
34,2,5.70764779927608
35,2,3.80509853285072
36,2,0.951274633212681
37,2,1.90254926642536
38,2,1.90254926642536
39,2,3.80509853285072
40,2,1.90254926642536
1,3,1.90254926642536
2,3,1.90254926642536
3,3,2.85382389963804
4,3,1.90254926642536
5,3,3.80509853285072
6,3,0.951274633212681
7,3,1.90254926642536
8,3,3.80509853285072
9,3,4.7563731660634
10,3,3.80509853285072
11,3,0.951274633212681
12,3,2.85382389963804
13,3,4.7563731660634
14,3,4.7563731660634
15,3,1.90254926642536
16,3,2.85382389963804
17,3,3.80509853285072
18,3,0.951274633212681
19,3,2.85382389963804
20,3,1.90254926642536
21,3,4.7563731660634
22,3,3.80509853285072
23,3,3.80509853285072
24,3,4.7563731660634
25,3,1.90254926642536
26,3,2.85382389963804
27,3,3.80509853285072
28,3,5.70764779927608
29,3,4.7563731660634
30,3,6.65892243248876
31,3,0
32,3,8.56147169891413
33,3,2.85382389963804
34,3,2.85382389963804
35,3,0.951274633212681
36,3,0.951274633212681
37,3,2.85382389963804
38,3,1.90254926642536
39,3,0.951274633212681
40,3,2.85382389963804
1,4,4.7563731660634
2,4,5.70764779927608
3,4,5.70764779927608
4,4,0.951274633212681
5,4,5.70764779927608
6,4,4.7563731660634
7,4,1.90254926642536
8,4,5.70764779927608
9,4,5.70764779927608
10,4,3.80509853285072
11,4,8.56147169891413
12,4,5.70764779927608
13,4,9.51274633212681
14,4,4.7563731660634
15,4,2.85382389963804
16,4,3.80509853285072
17,4,9.51274633212681
18,4,3.80509853285072
19,4,3.80509853285072
20,4,5.70764779927608
21,4,4.7563731660634
22,4,1.90254926642536
23,4,3.80509853285072
24,4,6.65892243248876
25,4,1.90254926642536
26,4,1.90254926642536
27,4,1.90254926642536
28,4,4.7563731660634
29,4,6.65892243248876
30,4,2.85382389963804
31,4,1.90254926642536
32,4,9.51274633212681
33,4,5.70764779927608
34,4,3.80509853285072
35,4,1.90254926642536
36,4,3.80509853285072
37,4,7.61019706570144
38,4,5.70764779927608
39,4,5.70764779927608
40,4,6.65892243248876
1,5,3.80509853285072
2,5,4.7563731660634
3,5,3.80509853285072
4,5,0.951274633212681
5,5,6.65892243248876
6,5,0.951274633212681
7,5,2.85382389963804
8,5,1.90254926642536
9,5,6.65892243248876
10,5,4.7563731660634
11,5,6.65892243248876
12,5,2.85382389963804
13,5,4.7563731660634
14,5,5.70764779927608
15,5,3.80509853285072
16,5,3.80509853285072
17,5,5.70764779927608
18,5,0.951274633212681
19,5,2.85382389963804
20,5,4.7563731660634
21,5,6.65892243248876
22,5,2.85382389963804
23,5,3.80509853285072
24,5,8.56147169891413
25,5,5.70764779927608
26,5,4.7563731660634
27,5,1.90254926642536
28,5,4.7563731660634
29,5,6.65892243248876
30,5,7.61019706570144
31,5,1.90254926642536
32,5,5.70764779927608
33,5,6.65892243248876
34,5,3.80509853285072
35,5,1.90254926642536
36,5,0.951274633212681
37,5,2.85382389963804
38,5,7.61019706570144
39,5,1.90254926642536
40,5,0.951274633212681
